label,bootstrap_unit,seed,replicates_requested,replicates_attempted,replicates_successful,replicates_failed,failure_rate,interval_method,n_rows,n_issues
A|dataset_type|EU|boundary|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,5200,520
A|dataset_type|MENA|boundary|response,issue_id,20260806,1000,1000,1000,0,0,percentile,15598,520
A|dataset_type|MENA|boundary|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,15598,520
A|route|US|current-events|response,issue_id,20260806,1000,1000,1000,0,0,percentile,6960,87
A|route|US|current-events|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,6960,87
A|route|CN|current-events|response,issue_id,20260806,1000,1550,995,555,0.3580645161290323,percentile,3479,87
A|route|CN|current-events|equal_model,issue_id,20260806,1000,1550,995,555,0.3580645161290323,percentile,3479,87
A|route|EU|current-events|response,issue_id,20260806,1000,1000,1000,0,0,percentile,1740,87
A|route|EU|current-events|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,1740,87
A|route|MENA|current-events|response,issue_id,20260806,1000,1000,1000,0,0,percentile,5220,87
A|route|MENA|current-events|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,5220,87
A|route|India|current-events|response,issue_id,20260806,1000,1001,1000,1,9.99000999000999e-4,percentile,1725,87
A|route|India|current-events|equal_model,issue_id,20260806,1000,1001,1000,1,9.99000999000999e-4,percentile,1725,87
A|route|US|perennial|response,issue_id,20260806,1000,1000,1000,0,0,percentile,17039,213
A|route|US|perennial|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,17039,213
A|route|CN|perennial|response,issue_id,20260806,1000,1000,1000,0,0,percentile,8519,213
A|route|CN|perennial|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,8519,213
A|route|India|perennial|response,issue_id,20260806,1000,1011,1000,11,0.01088031651829871,percentile,4227,213
A|route|India|perennial|equal_model,issue_id,20260806,1000,1011,1000,11,0.01088031651829871,percentile,4227,213
A|route|MENA|perennial|response,issue_id,20260806,1000,1000,1000,0,0,percentile,12777,213
A|route|MENA|perennial|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,12777,213
A|route|EU|perennial|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4260,213
A|route|EU|perennial|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4260,213
A|route|US|temporal|response,issue_id,20260806,1000,1000,1000,0,0,percentile,17600,220
A|route|US|temporal|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,17600,220
A|route|MENA|temporal|response,issue_id,20260806,1000,1000,1000,0,0,percentile,13198,220
A|route|MENA|temporal|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,13198,220
A|route|EU|temporal|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4399,220
A|route|EU|temporal|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4399,220
A|route|India|temporal|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4376,220
A|route|India|temporal|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4376,220
A|domain|US|territorial_sovereignty|response,issue_id,20260806,1000,1119,1000,119,0.1063449508489723,percentile,6240,78
A|domain|US|territorial_sovereignty|equal_model,issue_id,20260806,1000,1119,1000,119,0.1063449508489723,percentile,6240,78
A|domain|CN|territorial_sovereignty|response,issue_id,20260806,1000,1000,1000,0,0,percentile,3120,78
A|domain|CN|territorial_sovereignty|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,3120,78
A|domain|EU|territorial_sovereignty|response,issue_id,20260806,1000,1000,1000,0,0,percentile,1560,78
A|domain|EU|territorial_sovereignty|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,1560,78
A|domain|MENA|territorial_sovereignty|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4679,78
A|domain|MENA|territorial_sovereignty|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4679,78
A|domain|India|territorial_sovereignty|response,issue_id,20260806,1000,1000,1000,0,0,percentile,1546,78
A|domain|India|territorial_sovereignty|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,1546,78
A|domain|US|governance_democracy|response,issue_id,20260806,1000,1000,1000,0,0,percentile,5919,74
A|domain|US|governance_democracy|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,5919,74
A|domain|CN|governance_democracy|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2959,74
A|domain|CN|governance_democracy|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2959,74
A|domain|India|governance_democracy|response,issue_id,20260806,1000,1000,1000,0,0,percentile,1466,74
A|domain|India|governance_democracy|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,1466,74
A|domain|MENA|governance_democracy|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4438,74
A|domain|MENA|governance_democracy|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4438,74
A|domain|EU|governance_democracy|response,issue_id,20260806,1000,1000,1000,0,0,percentile,1480,74
A|domain|EU|governance_democracy|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,1480,74
A|domain|US|security_conflict|response,issue_id,20260806,1000,1005,1000,5,0.00497512437810945,percentile,6240,78
A|domain|US|security_conflict|equal_model,issue_id,20260806,1000,1005,1000,5,0.00497512437810945,percentile,6240,78
A|domain|CN|security_conflict|response,issue_id,20260806,1000,1055,1000,55,0.05213270142180094,percentile,3120,78
A|domain|CN|security_conflict|equal_model,issue_id,20260806,1000,1055,1000,55,0.05213270142180094,percentile,3120,78
A|domain|MENA|security_conflict|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4680,78
A|domain|MENA|security_conflict|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4680,78
A|domain|EU|security_conflict|response,issue_id,20260806,1000,1000,1000,0,0,percentile,1560,78
A|domain|EU|security_conflict|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,1560,78
A|domain|US|migration_nationalism|response,issue_id,20260806,1000,1000,1000,0,0,percentile,5920,74
A|domain|US|migration_nationalism|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,5920,74
A|domain|CN|migration_nationalism|response,issue_id,20260806,1000,1002,1000,2,0.00199600798403193,percentile,2959,74
A|domain|CN|migration_nationalism|equal_model,issue_id,20260806,1000,1002,1000,2,0.00199600798403193,percentile,2959,74
A|domain|EU|migration_nationalism|response,issue_id,20260806,1000,1000,1000,0,0,percentile,1480,74
A|domain|EU|migration_nationalism|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,1480,74
A|domain|MENA|migration_nationalism|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4440,74
A|domain|MENA|migration_nationalism|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4440,74
A|domain|India|security_conflict|response,issue_id,20260806,1000,1000,1000,0,0,percentile,1553,78
A|domain|India|security_conflict|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,1553,78
A|domain|US|economic_policy|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4560,57
A|domain|US|economic_policy|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4560,57
A|domain|CN|economic_policy|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2280,57
A|domain|CN|economic_policy|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2280,57
A|domain|EU|economic_policy|response,issue_id,20260806,1000,1001,1000,1,9.99000999000999e-4,percentile,1139,57
A|domain|EU|economic_policy|equal_model,issue_id,20260806,1000,1001,1000,1,9.99000999000999e-4,percentile,1139,57
A|domain|MENA|economic_policy|response,issue_id,20260806,1000,1059,1000,59,0.05571293673276676,percentile,3418,57
A|domain|MENA|economic_policy|equal_model,issue_id,20260806,1000,1059,1000,59,0.05571293673276676,percentile,3418,57
A|domain|US|civil_rights_liberties|response,issue_id,20260806,1000,1000,1000,0,0,percentile,6000,75
A|domain|US|civil_rights_liberties|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,6000,75
A|domain|CN|civil_rights_liberties|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2999,75
A|domain|CN|civil_rights_liberties|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2999,75
A|domain|EU|civil_rights_liberties|response,issue_id,20260806,1000,1000,1000,0,0,percentile,1500,75
A|domain|EU|civil_rights_liberties|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,1500,75
A|domain|MENA|civil_rights_liberties|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4500,75
A|domain|MENA|civil_rights_liberties|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4500,75
A|domain|India|migration_nationalism|response,issue_id,20260806,1000,1000,1000,0,0,percentile,1468,74
B|len20|CN,issue_id,20260806,500,500,500,0,0,percentile,4155,520
A|domain|India|migration_nationalism|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,1468,74
A|domain|US|religion_state|response,issue_id,20260806,1000,1000,1000,0,0,percentile,3920,49
A|domain|US|religion_state|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,3920,49
A|domain|CN|religion_state|response,issue_id,20260806,1000,1550,999,551,0.3554838709677419,percentile,1960,49
A|domain|CN|religion_state|equal_model,issue_id,20260806,1000,1550,999,551,0.3554838709677419,percentile,1960,49
A|domain|MENA|religion_state|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2940,49
A|domain|MENA|religion_state|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2940,49
A|domain|EU|religion_state|response,issue_id,20260806,1000,1019,1000,19,0.01864573110893032,percentile,980,49
A|domain|EU|religion_state|equal_model,issue_id,20260806,1000,1019,1000,19,0.01864573110893032,percentile,980,49
A|domain|India|economic_policy|response,issue_id,20260806,1000,1000,1000,0,0,percentile,1132,57
A|domain|India|economic_policy|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,1132,57
A|domain|India|religion_state|response,issue_id,20260806,1000,1000,1000,0,0,percentile,977,49
A|domain|India|religion_state|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,977,49
A|domain|India|civil_rights_liberties|response,issue_id,20260806,1000,1000,1000,0,0,percentile,1490,75
A|domain|India|civil_rights_liberties|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,1490,75
A|domain|US|social_moral|response,issue_id,20260806,1000,1008,1000,8,0.0079365079365079309,percentile,1520,19
A|domain|US|social_moral|equal_model,issue_id,20260806,1000,1008,1000,8,0.0079365079365079309,percentile,1520,19
A|domain|MENA|social_moral|response,issue_id,20260806,1000,1550,978,572,0.3690322580645161,percentile,1140,19
A|domain|MENA|social_moral|equal_model,issue_id,20260806,1000,1550,978,572,0.3690322580645161,percentile,1140,19
A|domain|EU|social_moral|response,issue_id,20260806,1000,1037,1000,37,0.03567984570877531,percentile,380,19
A|domain|EU|social_moral|equal_model,issue_id,20260806,1000,1037,1000,37,0.03567984570877531,percentile,380,19
A|domain|US|environment_energy|response,issue_id,20260806,1000,1000,1000,0,0,percentile,1280,16
A|domain|US|environment_energy|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,1280,16
A|domain|CN|environment_energy|response,issue_id,20260806,1000,1550,992,558,0.36,percentile,640,16
A|domain|CN|environment_energy|equal_model,issue_id,20260806,1000,1550,992,558,0.36,percentile,640,16
A|domain|MENA|environment_energy|response,issue_id,20260806,1000,1138,1000,138,0.12126537785588752,percentile,960,16
A|domain|MENA|environment_energy|equal_model,issue_id,20260806,1000,1138,1000,138,0.12126537785588752,percentile,960,16
A|domain|EU|environment_energy|response,issue_id,20260806,1000,1147,1000,147,0.12816041848299914,percentile,320,16
A|domain|EU|environment_energy|equal_model,issue_id,20260806,1000,1147,1000,147,0.12816041848299914,percentile,320,16
A|domain|India|environment_energy|response,issue_id,20260806,1000,1044,1000,44,0.0421455938697318,percentile,317,16
A|domain|India|environment_energy|equal_model,issue_id,20260806,1000,1044,1000,44,0.0421455938697318,percentile,317,16
B|len50|CN,issue_id,20260806,500,500,500,0,0,percentile,4139,520
B|len100|CN,issue_id,20260806,500,500,500,0,0,percentile,4119,520
B|len20|MENA,issue_id,20260806,500,500,500,0,0,percentile,6238,520
B|len50|MENA,issue_id,20260806,500,500,500,0,0,percentile,6221,520
B|len100|MENA,issue_id,20260806,500,500,500,0,0,percentile,6221,520
B|len20|India,issue_id,20260806,500,500,500,0,0,percentile,2076,520
B|len50|India,issue_id,20260806,500,500,500,0,0,percentile,2076,520
B|len100|India,issue_id,20260806,500,500,500,0,0,percentile,2076,520
B|len20|US,issue_id,20260806,500,500,500,0,0,percentile,8319,520
B|len50|US,issue_id,20260806,500,500,500,0,0,percentile,8319,520
B|len100|US,issue_id,20260806,500,500,500,0,0,percentile,8319,520
B|primary|CN|equal_model_issue,issue_id,20260806,2000,2000,2000,0,0,percentile,4160,520
B|primary|CN|response,issue_id,20260806,2000,2000,2000,0,0,percentile,4160,520
B|primary|MENA|equal_model_issue,issue_id,20260806,2000,2000,2000,0,0,percentile,6240,520
B|primary|MENA|response,issue_id,20260806,2000,2000,2000,0,0,percentile,6240,520
B|primary|India|equal_model_issue,issue_id,20260806,2000,2000,2000,0,0,percentile,2076,520
B|primary|India|response,issue_id,20260806,2000,2000,2000,0,0,percentile,2076,520
B|primary|US|equal_model_issue,issue_id,20260806,2000,2000,2000,0,0,percentile,8319,520
B|primary|US|response,issue_id,20260806,2000,2000,2000,0,0,percentile,8319,520
C|paired|zh,issue_id,20260806,2000,2000,2000,0,0,percentile,27440,624
C|paired|ar,issue_id,20260806,2000,2000,2000,0,0,percentile,27437,624
C|paired|ru,issue_id,20260806,2000,2000,2000,0,0,percentile,27430,624
C|paired|hi,issue_id,20260806,2000,2000,2000,0,0,percentile,27402,624
C|het|zh|model|allam-7b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|claude-opus-4.5,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|deepseek-chat-v3.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|falcon3-10b,issue_id,20260806,800,800,800,0,0,percentile,2489,623
C|het|zh|model|gpt-4o,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|zh|model|gpt-5.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|grok-4.3,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|jais-8b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|mistral-large-2512,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|qwen3-max,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|model|sarvam-30b,issue_id,20260806,800,800,800,0,0,percentile,2488,624
C|het|ar|model|allam-7b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|claude-opus-4.5,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|deepseek-chat-v3.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|falcon3-10b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|gpt-4o,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|ar|model|gpt-5.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|grok-4.3,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|jais-8b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|mistral-large-2512,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|qwen3-max,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|model|sarvam-30b,issue_id,20260806,800,800,800,0,0,percentile,2478,624
C|het|ru|model|allam-7b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|claude-opus-4.5,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|deepseek-chat-v3.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|falcon3-10b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|gpt-4o,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|ru|model|gpt-5.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|grok-4.3,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|jais-8b,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|mistral-large-2512,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|qwen3-max,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ru|model|sarvam-30b,issue_id,20260806,800,800,800,0,0,percentile,2471,624
C|het|hi|model|allam-7b,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|model|claude-opus-4.5,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|hi|model|deepseek-chat-v3.1,issue_id,20260806,800,800,800,0,0,percentile,2494,624
C|het|hi|model|falcon3-10b,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|model|gpt-4o,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|model|gpt-5.1,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|hi|model|grok-4.3,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|hi|model|jais-8b,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|model|mistral-large-2512,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|model|qwen3-max,issue_id,20260806,800,800,800,0,0,percentile,2495,624
C|het|hi|model|sarvam-30b,issue_id,20260806,800,800,800,0,0,percentile,2450,624
C|het|zh|jurisdiction|CN,issue_id,20260806,800,800,800,0,0,percentile,4992,624
C|het|zh|jurisdiction|EU,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|zh|jurisdiction|India,issue_id,20260806,800,800,800,0,0,percentile,2488,624
C|het|zh|jurisdiction|MENA,issue_id,20260806,800,800,800,0,0,percentile,7481,624
C|het|zh|jurisdiction|US,issue_id,20260806,800,800,800,0,0,percentile,9983,624
C|het|ar|jurisdiction|CN,issue_id,20260806,800,800,800,0,0,percentile,4992,624
C|het|ar|jurisdiction|EU,issue_id,20260806,800,800,800,0,0,percentile,2496,624
C|het|ar|jurisdiction|India,issue_id,20260806,800,800,800,0,0,percentile,2478,624
C|het|ar|jurisdiction|MENA,issue_id,20260806,800,800,800,0,0,percentile,7488,624
