path,sha256,bytes,status,replacement,rationale,git_tracked
pipeline/archive/precanonical_v1/20_estimates_home.R,55d90c094d4458fd8fca3b05a6a2ff00deec722d0e4321692dea393b592a5ad1,28771,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_v1/21_estimates_support.R,28177aab17dae2fb4cc3bfdf7ca75fbcb1a4453fb317cb2cab773b8c2219e26e,14169,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_v1/22_estimates_slant.R,8874995853f176f74d2fc256edeabbdd199ccba73562d0d45027c3d61be6e1a1,16063,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_v1/23_diagnostics.R,6686ab13a4a944a24cebf56c2d957cc8aa9ace6145d4ef46b2498c15fd850f46,9042,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_v1/25_estimates_language.R,5d6e1dfc4ac4e362e68819241615d8f16068baa6c7b5e60f6d536f7df5369c1a,13141,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_v1/30_figures.R,c0590f5cecf36f0f77db77c2d58c8781ba0854abd17ed32d266e333758d22c1b,51662,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_v2/40_v2_common.R,2e8f98eacc0fce873c6128d2eac86dfd8ee6c0adabe69d8d73a33a9a2f61e1b4,13512,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_v2/41_v2_home_descriptive.R,4957c99326785c85aea6c5edbbe918a15cba6164cd961c6609f9a62a765cb5a0,8451,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_v2/42_v2_home_standardized.R,f3271002bde18b504c5698a8812a289fb92768eac86b74607efe44c9d84a957c,14059,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_v2/43_v2_language_paired.R,5b498832bc020266edccb979f78b9e47cefaaf2aae7f6c2258d0509dbbaa525c,10619,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_v2/44_v2_outcome_sensitivity.R,c9cd369880ee88d92a0d553be045401041bc66d6aed69638eafd9edc7d083230,9727,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_v2/45_v2_reconciliation.R,8c891f34b954e71e924c9e0d4e64b696d1a5aea30d2f468117e9b818e1deb4f5,16046,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_v2/46_v2_acceptance_tests.R,8cb69ba1f5b6618b5598bab598b89c760420563f19ff8ab8b447374c98f895ce,10818,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_v2/47_v2_figures.R,f08234c0749e8727d0e10a8e449509357c9e759ce2a3bd592c70fca70d0e9efb,15184,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/retired/16_irr_analysis.R,64c4d0fb2b0bd15711c65739cdf4e4356db2f7d9b3c4124a17a05a60c619c52b,1539,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/retired/57_refusal_umap_figure.R,321e5654949b3fc8b7405c76265c4af9e840be2c4bf0b2e370bdfca4c717255e,9373,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
scripts/archive/response_validity/audit_response_validity.py,7ddbeb3d7303539a5af9821854de28ed33b0c8eaa8eee22c07843e0313ddd703,29273,superseded,scripts/response_validity.py,Historical dual-machine validity audit,False
scripts/archive/response_validity/augment_response_validity_dsl_reference.py,1a8b9a724413eeac17de89858104f2e7de4c07adfebcf7b5258a7d199a04a605,13171,completed_provenance,scripts/response_validity.py,Completed singleton-stratum repair runner,False
scripts/archive/response_validity/pilot_response_validity_v11.py,e2438b326791cbf6f0bb026409cc9ed8fbc5a2728a4d565353df96925410f1af,22581,completed_provenance,scripts/response_validity.py,Completed GPT-5.6 pilot runner,False
scripts/archive/response_validity/render_response_validity_report.py,2dffb8c34fdf4bf3743af7aafa6e3193507d0e7dd81babac1a1bd04d57bb0ec7,6126,superseded,scripts/response_validity.py,Renderer for the superseded dual-machine report,False
scripts/archive/response_validity/render_response_validity_v11_pilot.py,3050b27a41dd09f5c3c2dd0b380d67ef6c1d99b5e1708014296c05882d5b959c,7484,completed_provenance,scripts/response_validity.py,Completed pilot renderer,False
scripts/archive/response_validity/response_validity_dsl.py,083c0a262b64d81642959798dcb91b2c4228d3bd5adaa8c61c2ff5ffa55d4fa5,25346,completed_provenance,scripts/response_validity.py,Completed Sol DSL design and cross-fitting implementation,False
scripts/archive/response_validity/run_response_validity_dsl_reference.py,7440cbfcd057752768dec5080075529a410eab1e4b483da42544808706e5271a,16818,completed_provenance,scripts/response_validity.py,Completed paid Sol v1.0 runner and assembler,False
scripts/archive/response_validity/simulate_response_validity_dsl_design.py,a7f3ecf51863300dd64c08177918b0b3444109505b1a50464a22f4261089505d,4756,completed_provenance,scripts/response_validity.py,Completed Sol design simulation implementation,False
